name,city,state,lat,lon
Albertville High School,Albertville,Alabama,34.2622,-86.2049
Asbury High School,Albertville,Alabama,34.3625,-86.142
Douglas High School,Douglas,Alabama,34.178658,-86.319462
Kate D Smith DAR High School,Grant,Alabama,34.53375,-86.254153
Marshall Technical School,Guntersville,Alabama,34.3054,-86.2859
Brindlee Mountain High School,Guntersville,Alabama,34.3764,-86.4219
Hoover High School,Hoover,Alabama,33.3444,-86.8377
Spain Park High School,Hoover,Alabama,33.3927,-86.7288
Crossroads School,Hoover,Alabama,33.337604,-86.840932
Riverchase Career Connection Center,Hoover,Alabama,33.34668,-86.80969
Bob Jones High School,Madison,Alabama,34.7192,-86.7425
James Clemens High School,Madison,Alabama,34.705886,-86.791802
E H Gentry Technical Facility,Talladega,Alabama,33.42544,-86.117706
Leeds High School,Leeds,Alabama,33.547574,-86.574182
Boaz High School,Boaz,Alabama,34.2118,-86.1639
HewittTrussville High School,Trussville,Alabama,33.665684,-86.590765
Benjamin Russell High School,Alexander City,Alabama,32.9377,-85.9508
Andalusia High School,Andalusia,Alabama,31.3154,-86.4708
Anniston High School,Anniston,Alabama,33.6612,-85.82
Anniston City Boot Camp School,Anniston,Alabama,33.708165,-85.822863
Arab High School,Arab,Alabama,34.329247,-86.48857
Athens High School,Athens,Alabama,34.812486,-86.949822
Etowah High School,Attalla,Alabama,33.996,-86.1109
Saraland High School,Saraland,Alabama,30.796015,-88.100153
Chickasaw City High School,Chickasaw,Alabama,30.757103,-88.078474
Satsuma High School,Satsuma,Alabama,30.8471,-88.0569
Thompson High School,Alabaster,Alabama,33.222102,-86.845962
Pelham High School,Pelham,Alabama,33.312895,-86.82121
Pike Road High School,Pike Road,Alabama,32.355003,-86.102682
Acceleration Day and Evening Academy,MOBILE,Alabama,30.672421,-88.138607
University Charter School  Secondary,Livingston,Alabama,32.595845,-88.189756
Gulf Shores High School,Gulf Shores,Alabama,30.269146,-87.675805
Auburn High School,Auburn,Alabama,32.603878,-85.446081
Magic City Acceptance Academy,Birmingham,Alabama,33.470676,-86.829899
Marbury High School,Deatsville,Alabama,32.619027,-86.481999
Prattville High School,Prattville,Alabama,32.5005,-86.4716
Autauga County Technology Center,Prattville,Alabama,32.500629,-86.473537
Louise M Smith Development Center,Prattville,Alabama,32.448195,-86.421643
Robertsdale High School,Robertsdale,Alabama,30.540413,-87.706485
Elberta High School,Elberta,Alabama,30.4198,-87.5998
Fairhope High School,Fairhope,Alabama,30.498068,-87.8836
North Baldwin Center For Technology,Bay Minette,Alabama,30.8656,-87.7837
South Baldwin Center For Technology,Robertsdale,Alabama,30.5495,-87.6962
Daphne High School,Daphne,Alabama,30.6388,-87.8641
Foley High School,Foley,Alabama,30.3817,-87.6893
Baldwin County High School,Bay Minette,Alabama,30.8937,-87.794
Spanish Fort High School,Spanish Fort,Alabama,30.6887,-87.8541
CF Taylor Alternative School,Robertsdale,Alabama,30.552507,-87.698735
Baldwin County Virtual School,Daphne,Alabama,30.584455,-87.899726
Barbour County High School,Clayton,Alabama,31.868278,-85.44613
Bessemer City High School,Bessemer,Alabama,33.370885,-86.999217
New Horizon Alternative School,Bessemer,Alabama,33.4023,-86.9582
Bessemer Center For Technology,Bessemer,Alabama,33.370885,-86.999217
Bibb County High School,Centreville,Alabama,32.9472,-87.1426
West Blocton High School,West Blocton,Alabama,33.1131,-87.1284
Bibb County Career Academy,West Blocton,Alabama,33.0518,-87.136
Huffman High SchoolMagnet,Birmingham,Alabama,33.611201,-86.683271
JacksonOlin High School,Birmingham,Alabama,33.518499,-86.892235
Parker High School,Birmingham,Alabama,33.514596,-86.829301
Ramsay High School,Birmingham,Alabama,33.4976,-86.7986
Wenonah High School,Birmingham,Alabama,33.45457,-86.884829
Woodlawn High SchoolMagnet,Birmingham,Alabama,33.5422,-86.7521
Dupuy Alternative School,Birmingham,Alabama,33.547981,-86.769366
George Washington Carver High School,Birmingham,Alabama,33.5584,-86.828
Homebound High School,Birmingham,Alabama,33.519899,-86.808778
Cleveland High School,Cleveland,Alabama,33.9932,-86.5736
Hayden High School,Hayden,Alabama,33.8869,-86.7681
JB Pennington High School,Blountsville,Alabama,34.0858,-86.5888
Locust Fork High School,Locust Fork,Alabama,33.9084,-86.6179
Susan Moore High School,Blountsville,Alabama,34.0828,-86.4303
Blount County Career Technical Center,Cleveland,Alabama,33.991488,-86.561712
TR Miller High School,Brewton,Alabama,31.1382,-87.0704
Bullock County High School,Union Springs,Alabama,32.129773,-85.722772
Bullock County Career Technical Center,Union Springs,Alabama,32.142862,-85.712739
Greenville High School,Greenville,Alabama,31.837042,-86.65194
Butler County Area Vocational School,Greenville,Alabama,31.837042,-86.65194
Alexandria High School,Alexandria,Alabama,33.775146,-85.887066
Ohatchee High School,Ohatchee,Alabama,33.786,-86.0014
Saks High School,Anniston,Alabama,33.7022,-85.8367
Weaver High School,Weaver,Alabama,33.7471,-85.8309
White Plains High School,Anniston,Alabama,33.747043,-85.686986
Calhoun County Career Technical Center,Jacksonville,Alabama,33.801672,-85.757907
Pleasant Valley High School,Jacksonville,Alabama,33.885484,-85.816324
Wellborn High School,Anniston,Alabama,33.6525,-85.882
Lafayette High School,Lafayette,Alabama,32.8994,-85.3965
Valley High School,Valley,Alabama,32.8022,-85.1815
Inspire Academy,Lafayette,Alabama,32.890312,-85.381482
Inspire Virtual Academy,LaFayette,Alabama,32.890312,-85.381482
Cherokee County High School,Centre,Alabama,34.1638,-85.6587
Cherokee County Career  Technology Center,Centre,Alabama,34.1597,-85.6865
Jemison High School,Jemison,Alabama,32.9655,-86.7483
W A Lecroy Career  Technical Center,Clanton,Alabama,32.8321,-86.6736
Chilton County High School,Clanton,Alabama,32.8219,-86.6127
Chilton County Alternative School,Clanton,Alabama,32.840923,-86.62477
Choctaw County High School,Butler,Alabama,32.0798,-88.2332
Southern Choctaw High School,Gilbertown,Alabama,31.8429,-88.3193
Clarke County High School,Grove Hill,Alabama,31.705821,-87.77412
Jackson High School,Jackson,Alabama,31.5482,-87.8851
Central High School of Clay County,Lineville,Alabama,33.290823,-85.787937
Cleburne County High School,Heflin,Alabama,33.648138,-85.571924
Ranburne High School,Ranburne,Alabama,33.523373,-85.346519
Cleburne County Career Technical School,Heflin,Alabama,33.597278,-85.482177
Cleburne County Alternative School,Heflin,Alabama,33.597278,-85.482177
New Brockton High School,New Brockton,Alabama,31.380382,-85.935457
Cherokee High School,Cherokee,Alabama,34.7657,-87.9633
Colbert County High School,Leighton,Alabama,34.6955,-87.5244
Colbert Heights High School,Tuscumbia,Alabama,34.669434,-87.700833
Hillcrest High School,Evergreen,Alabama,31.431297,-86.937172
Genesis School,Evergreen,Alabama,31.431297,-86.937172
Conecuh County Area Vocational Center,Evergreen,Alabama,31.433284,-86.94062
Central High School,Rockford,Alabama,33.006452,-86.201187
Florala High School,Florala,Alabama,31.0028,-86.3368
Straughn High School,Andalusia,Alabama,31.3906,-86.4157
Crenshaw County Career Academy,Luverne,Alabama,31.7051,-86.2677
Cullman High School,Cullman,Alabama,34.1885,-86.8418
Cullman City Career Tech,Cullman,Alabama,34.1792,-86.8405
Cold Springs High School,Bremen,Alabama,33.982384,-87.032348
Fairview High School,Cullman,Alabama,34.255046,-86.687902
Good Hope High School,Cullman,Alabama,34.1035,-86.8797
Hanceville High School,Hanceville,Alabama,34.0612,-86.7608
Holly Pond High School,Holly Pond,Alabama,34.1769,-86.619
Vinemont High School,Vinemont,Alabama,34.244071,-86.864278
West Point High School,Cullman,Alabama,34.2373,-86.9633
Cullman Area Technology Academy,Cullman,Alabama,34.2227,-86.8569
Cullman Area Resource Education,Cullman,Alabama,34.207556,-87.053468
Dale County High School,Midland City,Alabama,31.320654,-85.504214
George W Long High School,Skipperville,Alabama,31.559,-85.5509
Opportunity Academy,Ozark,Alabama,31.45128,-85.65335
Bridge Academy,Ozark,Alabama,31.425051,-85.616218
Daleville High School,Daleville,Alabama,31.316204,-85.709728
Dallas County High School,Plantersville,Alabama,32.661814,-86.929631
Keith MiddleHigh School,Orrville,Alabama,32.292538,-87.235715
Southside High School,Selma,Alabama,32.327267,-86.928401
Dallas County Career Technical Center,Selma,Alabama,32.372036,-87.016634
Alternative School,Fort Payne,Alabama,34.460201,-85.703264
Dekalb Technical Center,Rainsville,Alabama,34.49173,-85.8406
Crossville High School,Crossville,Alabama,34.290223,-85.996301
Austin High School,Decatur,Alabama,34.563684,-87.049556
Decatur High School,Decatur,Alabama,34.593282,-86.97216
Decatur High Developmental,Decatur,Alabama,34.593282,-86.97216
Career Technical Center,Decatur,Alabama,34.57954,-87.007634
Demopolis High School,Demopolis,Alabama,32.494584,-87.845732
PASS Academy,Dothan,Alabama,31.2429,-85.3885
Dothan Technology Center,Dothan,Alabama,31.2665,-85.3811
Dothan High School,Dothan,Alabama,31.2676,-85.3814
Dothan City Virtual School,Dothan,Alabama,31.209408,-85.395181
Elba High School,Elba,Alabama,31.427146,-86.10309
Elba Area Vocational School,Elba,Alabama,31.427146,-86.10309
Elmore County High School,Eclectic,Alabama,32.6338,-86.0296
Holtville High School,Deatsville,Alabama,32.6356,-86.3261
Stanhope Elmore High School,Millbrook,Alabama,32.4942,-86.3624
Wetumpka High School,Wetumpka,Alabama,32.5525,-86.2225
Elmore County Technical Center,Wetumpka,Alabama,32.5504,-86.2156
Enterprise High School,Enterprise,Alabama,31.328129,-85.869911
Enterprise Career and Technology Center,Enterprise,Alabama,31.3098,-85.8602
Escambia County High School,Atmore,Alabama,31.0065,-87.4866
Flomaton High School,Flomaton,Alabama,31.006,-87.2699
W S Neal High School,East Brewton,Alabama,31.09011,-87.05455
Escambia County Alternative School,Flomaton,Alabama,31.0067,-87.2682
EscambiaBrewton Career Technical Center,Brewton,Alabama,31.1133,-87.0958
Gaston High School,Gadsden,Alabama,34.068314,-85.92684
Glencoe High School,Glencoe,Alabama,33.9677,-85.9353
Sardis High School,Sardis City,Alabama,34.1763,-86.1229
Southside High School,Southside,Alabama,33.920376,-86.033827
West End High School,Walnut Grove,Alabama,34.0638,-86.3025
Career Technical Center,Attalla,Alabama,33.9963,-86.1049
Hokes Bluff High School,Hokes Bluff,Alabama,34.013,-85.8694
Eufaula High School,Eufaula,Alabama,31.919296,-85.139098
Hope Academy,Eufaula,Alabama,31.919296,-85.139098
Fairfield High Preparatory School,Fairfield,Alabama,33.491187,-86.908318
Fairfield Area Vocational School,Fairfield,Alabama,33.491187,-86.908318
Berry High School,Berry,Alabama,33.663,-87.599
Fayette County High School,Fayette,Alabama,33.7031,-87.8218
Florence High School,Florence,Alabama,34.8345,-87.6633
Florence Learning Center,Florence,Alabama,34.7967,-87.6837
Fort Payne High School,Fort Payne,Alabama,34.487696,-85.674157
Phil Campbell High School,Phil Campbell,Alabama,34.349411,-87.706847
Red Bay High School,Red Bay,Alabama,34.4354,-88.1381
Franklin County Career Technical Center,Russellville,Alabama,34.475756,-87.864784
Tharptown High School,Russellville,Alabama,34.525786,-87.619756
C I T Y Program,Gadsden,Alabama,34.004712,-85.98933
Gadsden City Alternative School,Gadsden,Alabama,34.012556,-86.021729
Gadsden City High School,Gadsden,Alabama,33.995108,-86.037233
Geneva High School,Geneva,Alabama,31.0439,-85.8813
Geneva County High School,Hartford,Alabama,31.095832,-85.700153
Samson High School,Samson,Alabama,31.117792,-86.049316
Slocomb High School,Slocomb,Alabama,31.098483,-85.601606
Geneva Regional Career Technical Center,Geneva,Alabama,31.048206,-85.89415
Greene County High School,Eutaw,Alabama,32.823597,-87.931421
Peter J Kirksey Career Center,Eutaw,Alabama,32.8464,-87.9187
Greene County Career Center,Eutaw,Alabama,32.82487,-87.93291
Guntersville High School,Guntersville,Alabama,34.32,-86.3136
Hale County High School,Moundville,Alabama,32.99897,-87.62055
